Timestep,outlet,midstream,upstream
0.0,0.213899443688,0.460801438969,0.176334926054
0.17,1.62291947943,3.82522761308,1.31990971895
0.33,6.68673250588,15.2195777874,4.53542758883
0.5,20.0524488832,35.9466394786,9.11599317113
0.67,44.652403839,58.8381609339,13.2218669197
0.83,74.9736086693,77.3315923404,15.9895542458
1.0,102.202742541,89.6202126344,17.5598062268
1.17,121.879968382,96.7821476896,18.3592121768
1.33,134.207955719,100.591041527,18.7372781615
1.5,141.232105319,102.48820868,18.9065003989
1.67,144.976732569,103.388136292,18.978958439
1.83,146.875440115,103.798892588,19.00886445
2.0,136.182272946,91.3847750769,16.0005493046
2.17,118.718093397,74.4284580742,12.4473051632
2.33,99.2690271663,58.1950769704,9.3500673539
2.5,80.9691737305,44.7641050443,6.95842115468
2.67,65.2445409899,34.3616754673,5.20207159058
2.83,52.3938890143,26.5287847558,3.93365679
3.0,42.1659901939,20.6825853649,3.0175916214
3.17,34.1233162499,16.3129555446,2.35040010706
3.33,27.8201038885,13.0243692093,1.85839939167
3.5,22.8706329932,10.5252269907,1.49045996737
3.67,18.9645620622,8.6049784991,1.21131245034
3.83,15.8609418962,7.1125383973,0.996530411546
4.0,13.3758634457,5.9393202097,0.829042818351
4.17,11.3699035302,5.00682004083,0.696780356742
4.33,9.7374491089,4.25781089791,0.591101365698
4.5,8.39827720668,3.65017701905,0.505737898267
4.67,7.29115208544,3.15260965781,0.436085344665
4.83,6.36904317988,2.74159483879,0.378719040181
5.0,5.5955818091,2.39929329478,0.331061694053
5.17,4.94244129945,2.11203709114,0.291151905692
5.33,4.3873971042,1.86925442158,0.257481133315
5.5,3.91288522459,1.66269364088,0.228877529464
5.67,3.50492559414,1.48585805697,0.204422228579
5.83,3.1523133545,1.33359042254,0.183388359284
